date,humidity_missing,imputation
2023-01-05 00:00:00,1.61,-17.02
2023-01-05 01:00:00,1.51,0.78
2023-01-05 02:00:00,1.72,-0.78
2023-01-05 03:00:00,,1.66
2023-01-05 04:00:00,1.72,-14.58
2023-01-05 05:00:00,,1.67
2023-01-05 06:00:00,1.70,-11.54
2023-01-05 07:00:00,1.53,2.22
2023-01-05 08:00:00,1.66,-14.15
2023-01-05 09:00:00,1.63,-17.06
2023-01-05 10:00:00,1.61,-9.03
2023-01-05 11:00:00,1.50,-11.58
2023-01-05 12:00:00,1.64,-3.14
2023-01-05 13:00:00,1.56,5.10
2023-01-05 14:00:00,1.48,-4.00
2023-01-05 15:00:00,1.34,17.37
2023-01-05 16:00:00,1.38,24.78
2023-01-05 17:00:00,1.45,7.73
2023-01-05 18:00:00,1.43,8.73
2023-01-05 19:00:00,1.52,-15.30
2023-01-05 20:00:00,1.59,-10.19
2023-01-05 21:00:00,1.56,-4.57
2023-01-05 22:00:00,1.65,-5.38
2023-01-05 23:00:00,1.75,-30.28
2023-01-06 00:00:00,,1.68
2023-01-06 01:00:00,,1.69
2023-01-06 02:00:00,1.54,11.09
2023-01-06 03:00:00,1.69,-18.96
2023-01-06 04:00:00,1.70,1.69
2023-01-06 05:00:00,1.66,-25.41
2023-01-06 06:00:00,,1.71
2023-01-06 07:00:00,1.67,-8.60
2023-01-06 08:00:00,1.67,-12.70
2023-01-06 09:00:00,1.76,-30.63
2023-01-06 10:00:00,1.77,-25.65
2023-01-06 11:00:00,,1.60
2023-01-06 12:00:00,1.52,-14.89
2023-01-06 13:00:00,1.57,-5.68
2023-01-06 14:00:00,1.35,23.95
2023-01-06 15:00:00,1.28,1.48
2023-01-06 16:00:00,1.48,-27.14
2023-01-06 17:00:00,,1.52
2023-01-06 18:00:00,1.60,-9.34
2023-01-06 19:00:00,1.60,-13.31
2023-01-06 20:00:00,1.64,-18.16
2023-01-06 21:00:00,,1.66
2023-01-06 22:00:00,1.72,-33.24
2023-01-06 23:00:00,1.67,-17.49
2023-01-07 00:00:00,,1.68
2023-01-07 01:00:00,1.57,-12.36
2023-01-07 02:00:00,1.64,1.68
2023-01-07 03:00:00,1.68,-14.69
2023-01-07 04:00:00,1.76,-24.95
2023-01-07 05:00:00,1.70,-33.21
2023-01-07 06:00:00,1.59,0.56
2023-01-07 07:00:00,1.57,-3.81
2023-01-07 08:00:00,,1.63
2023-01-07 09:00:00,,1.62
2023-01-07 10:00:00,1.52,1.57
2023-01-07 11:00:00,1.58,-10.41
2023-01-07 12:00:00,1.56,1.50
2023-01-07 13:00:00,1.54,-7.81
2023-01-07 14:00:00,1.53,-18.11
2023-01-07 15:00:00,1.35,16.93
2023-01-07 16:00:00,1.50,1.53
2023-01-07 17:00:00,1.63,-18.48
2023-01-07 18:00:00,1.64,-19.61
2023-01-07 19:00:00,,1.64
2023-01-07 20:00:00,1.66,-19.23
2023-01-07 21:00:00,1.68,0.06
2023-01-07 22:00:00,1.70,1.69
2023-01-07 23:00:00,1.65,-1.07
2023-01-08 00:00:00,,1.68
2023-01-08 01:00:00,1.58,2.33
2023-01-08 02:00:00,1.64,-9.85
2023-01-08 03:00:00,,1.75
2023-01-08 04:00:00,1.73,-25.72
2023-01-08 05:00:00,1.79,-27.54
2023-01-08 06:00:00,,1.74
2023-01-08 07:00:00,1.85,-39.90
2023-01-08 08:00:00,1.70,-27.51
2023-01-08 09:00:00,1.90,1.69
2023-01-08 10:00:00,1.58,-5.48
2023-01-08 11:00:00,,1.58
2023-01-08 12:00:00,1.67,1.58
2023-01-08 13:00:00,1.61,-27.34
2023-01-08 14:00:00,1.39,-1.52
2023-01-08 15:00:00,1.41,22.63
2023-01-08 16:00:00,1.50,-8.70
2023-01-08 17:00:00,1.55,4.73
2023-01-08 18:00:00,1.56,-9.94
2023-01-08 19:00:00,1.53,2.42
2023-01-08 20:00:00,,1.61
2023-01-08 21:00:00,1.60,-7.12
2023-01-08 22:00:00,1.66,-6.91
2023-01-08 23:00:00,1.71,-24.43
2023-01-09 00:00:00,1.59,-1.90
2023-01-09 01:00:00,,1.68
2023-01-09 02:00:00,1.81,1.66
2023-01-09 03:00:00,1.63,-11.42
2023-01-09 04:00:00,1.58,-19.81
2023-01-09 05:00:00,,1.65
2023-01-09 06:00:00,1.67,-13.45
2023-01-09 07:00:00,,1.68
2023-01-09 08:00:00,1.71,-30.34
2023-01-09 09:00:00,1.69,-33.04
2023-01-09 10:00:00,1.75,-30.99
2023-01-09 11:00:00,1.62,6.06
2023-01-09 12:00:00,1.55,-8.23
2023-01-09 13:00:00,1.44,16.33
2023-01-09 14:00:00,1.45,-6.22
2023-01-09 15:00:00,1.39,18.68
2023-01-09 16:00:00,1.45,1.49
